,Closed Date,Created Date,Agency,Borough,processing_time,start_time_window
113,2016-01-07 12:14:46,2016-01-01 00:34:38,HPD,BRONX,6 days 11:40:08.000000000,0
114,2016-01-01 14:04:25,2016-01-01 00:35:07,NYPD,BRONX,0 days 13:29:18.000000000,0
115,2016-01-01 15:58:53,2016-01-01 00:35:07,NYPD,BROOKLYN,0 days 15:23:46.000000000,0
116,2016-01-01 10:01:47,2016-01-01 00:35:28,NYPD,BRONX,0 days 09:26:19.000000000,0
117,2016-01-01 07:47:26,2016-01-01 00:35:30,NYPD,BRONX,0 days 07:11:56.000000000,0
118,2016-01-04 11:26:34,2016-01-01 00:35:34,HPD,BRONX,3 days 10:51:00.000000000,0
119,2016-01-01 07:26:36,2016-01-01 00:35:53,NYPD,BRONX,0 days 06:50:43.000000000,0
120,2016-01-01 02:20:14,2016-01-01 00:35:58,NYPD,BROOKLYN,0 days 01:44:16.000000000,0
121,2016-01-01 01:24:45,2016-01-01 00:36:12,NYPD,MANHATTAN,0 days 00:48:33.000000000,0
122,2016-01-01 14:04:26,2016-01-01 00:36:26,NYPD,BRONX,0 days 13:28:00.000000000,0
123,2016-01-01 01:18:44,2016-01-01 00:36:40,NYPD,MANHATTAN,0 days 00:42:04.000000000,0
124,2016-01-01 07:26:25,2016-01-01 00:36:58,NYPD,BRONX,0 days 06:49:27.000000000,0
125,2016-01-01 02:01:00,2016-01-01 00:37:11,NYPD,MANHATTAN,0 days 01:23:49.000000000,0
126,2016-01-01 15:58:53,2016-01-01 00:37:34,NYPD,BROOKLYN,0 days 15:21:19.000000000,0
127,2016-01-01 02:08:39,2016-01-01 00:37:41,NYPD,MANHATTAN,0 days 01:30:58.000000000,0
128,2016-01-01 03:14:07,2016-01-01 00:37:54,NYPD,QUEENS,0 days 02:36:13.000000000,0
129,2016-01-01 07:26:15,2016-01-01 00:38:07,NYPD,BRONX,0 days 06:48:08.000000000,0
